StimmbezirkNr,Kommunalwahlkreis,Landtagswahlkreis,Bundestagswahlkreis,StadtbezirkNr,StadtbezirkName,StadtteilNr,StadtteilName,X,Y,Einwohner,AnteilAusländer,Wahlberechtigte,AnteilFrauen,18bis24Jahre,25bis34Jahre,35bis44Jahre,45bis59Jahre,Ab60Jahre,AnteilWahlberechtigte,Anteil18bis24Jahre,Anteil25bis34Jahre,Anteil35bis44Jahre,Anteil45bis59Jahre,AnteilAb60Jahre,Wahlberechtigte2009,Wahlbeteiligung2009,GueltigeZweitstimmen2009,Zweitstimmen_SPD_2009,Zweitstimmen_CDU_2009,Zweitstimmen_FDP_2009,Zweitstimmen_GRUENE_2009,Zweitstimmen_DIE_LINKE_2009,Zweitstimmen_Sonstige_2009,ZweitstimmenAnteil_SPD_2009,ZweitstimmenAnteil_CDU_2009,ZweitstimmenAnteil_GRUENE_2009,ZweitstimmenAnteil_FDP_2009,ZweitstimmenAnteil_DIE_LINKE_2009,ZweitstimmenAnteil_Sonstige_2009,GueltigeErststimmen2009,Erststimmen_SPD_2009,Erststimmen_CDU_2009,Erststimmen_FDP_2009,Erststimmen_GRUENE_2009,Erststimmen_DIE_LINKE_2009,Erststimmen_Sonstige_2009,ErststimmenAnteil_SPD_2009,ErststimmenAnteil_CDU_2009,ErststimmenAnteil_GRUENE_2009,ErststimmenAnteil_FDP_2009,ErststimmenAnteil_DIE_LINKE_2009,ErststimmenAnteil_Sonstige_2009
10235,3,13,94,1,Innenstadt,102,Neustadt/Süd,6.9299264291,50.934651993,1453,19.6,1042,47.5,127,370,183,224,138,71.71,12.19,35.51,17.56,21.50,13.24,1018,74.9,754,140,150,125,220,65,54,18.57,19.89,29.18,16.58,8.62,7.16,751,246,171,79,198,51,6,32.76,22.77,26.36,10.52,6.79,0.80
10301,4,18,93,1,Innenstadt,103,Altstadt/Nord,6.9417916065,50.9385107232,1470,19.9,1102,44.6,114,378,233,228,149,74.97,10.34,34.30,21.14,20.69,13.52,1119,75.2,838,167,203,175,172,62,59,19.93,24.22,20.53,20.88,7.40,7.04,834,232,263,102,166,56,15,27.82,31.53,19.90,12.23,6.71,1.80
10302,4,18,93,1,Innenstadt,103,Altstadt/Nord,6.9491088482,50.9381583691,1175,15.9,914,49.6,58,238,164,173,281,77.79,6.35,26.04,17.94,18.93,30.74,899,74.1,664,117,190,176,116,41,24,17.62,28.61,17.47,26.51,6.17,3.61,662,152,266,96,109,33,6,22.96,40.18,16.47,14.50,4.98,0.91
10303,4,18,93,1,Innenstadt,103,Altstadt/Nord,6.9458214142,50.9398407091,1040,18,778,45.6,48,181,157,158,234,74.81,6.17,23.26,20.18,20.31,30.08,810,77.2,622,132,195,148,99,29,19,21.22,31.35,15.92,23.79,4.66,3.05,617,165,243,82,100,25,2,26.74,39.38,16.21,13.29,4.05,0.32
10304,4,18,93,1,Innenstadt,103,Altstadt/Nord,6.9579189244,50.9382568834,1114,24.1,772,47.4,75,210,93,159,235,69.30,9.72,27.20,12.05,20.60,30.44,830,71.2,587,118,190,109,113,30,27,20.10,32.37,19.25,18.57,5.11,4.60,586,170,238,60,84,25,9,29.01,40.61,14.33,10.24,4.27,1.54
10305,4,18,93,1,Innenstadt,103,Altstadt/Nord,6.9614696799,50.9382266091,1031,26,722,47,87,199,85,139,212,70.03,12.05,27.56,11.77,19.25,29.36,674,66.8,447,95,140,86,84,24,18,21.25,31.32,18.79,19.24,5.37,4.03,445,123,181,43,78,15,5,27.64,40.67,17.53,9.66,3.37,1.12
10306,4,18,93,1,Innenstadt,103,Altstadt/Nord,6.9608271784,50.9471072593,1143,29.5,683,50.5,85,184,136,140,138,59.76,12.45,26.94,19.91,20.50,20.20,670,78.5,524,105,149,76,127,41,26,20.04,28.44,24.24,14.50,7.82,4.96,522,173,172,48,96,30,3,33.14,32.95,18.39,9.20,5.75,0.57
10307,4,18,93,1,Innenstadt,103,Altstadt/Nord,6.9603553454,50.9441896567,788,21.8,543,46.6,49,123,106,135,130,68.91,9.02,22.65,19.52,24.86,23.94,556,76.4,421,97,114,62,96,35,17,23.04,27.08,22.80,14.73,8.31,4.04,420,134,149,34,77,23,3,31.90,35.48,18.33,8.10,5.48,0.71
10308,4,18,93,1,Innenstadt,103,Altstadt/Nord,6.959669098,50.9490217345,1150,21.8,793,49.2,63,247,170,193,120,68.96,7.94,31.15,21.44,24.34,15.13,778,78.1,604,128,143,89,153,60,31,21.19,23.68,25.33,14.74,9.93,5.13,600,186,171,60,131,46,6,31.00,28.50,21.83,10.00,7.67,1.00
10309,4,18,93,1,Innenstadt,103,Altstadt/Nord,6.9640716524,50.948461144,1062,16.3,814,59.2,48,136,134,147,349,76.65,5.90,16.71,16.46,18.06,42.87,827,73.5,603,139,198,77,121,44,24,23.05,32.84,20.07,12.77,7.30,3.98,603,190,229,46,99,33,6,31.51,37.98,16.42,7.63,5.47,1.00
